Title,Author,Average_Rating
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58
The Importance of Being Earnest,Oscar Wilde,4.17
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.00
Atonement,Ian McEwan,3.95
The Three Musketeers,Alexandre Dumas,4.10
The Lorax,Dr. Seuss,4.35
"Eat, Pray, Love",Elizabeth Gilbert,3.64
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.40
Goodnight Moon,Margaret Wise Brown,4.32
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.50
The Diary of a Young Girl,Anne Frank,4.20
A Midsummer Night’s Dream,William Shakespeare,3.94
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20
Bridge to Terabithia,Katherine Paterson,4.06
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25
"The Selection (The Selection, #1)",Kiera Cass,4.07
Heart of Darkness,Joseph Conrad,3.43
Tess of the D’Urbervilles,Thomas Hardy,3.84
The Night Circus,Erin Morgenstern,4.00
The Prophet,Kahlil Gibran,4.23
The Call of the Wild,Jack London,3.91
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30
Alice in Wonderland,Jane Carruth,4.03
The Joy Luck Club,Amy Tan,3.97
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01
"Oh, the Places You’ll Go!",Dr. Seuss,4.37
The Phantom Tollbooth,Norton Juster,4.19
The Neverending Story,Michael Ende,4.18
Madame Bovary,Gustave Flaubert,3.71
Treasure Island,Robert Louis Stevenson,3.85
Oliver Twist,Charles Dickens,3.88
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55
The Boy in the Striped Pajamas,John Boyne,4.16
Jonathan Livingston Seagull,Richard Bach,3.86
Ulysses,James Joyce,3.77
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.29
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.10
A Farewell to Arms,Ernest Hemingway,3.82
The Canterbury Tales,Geoffrey Chaucer,3.52
A Little Princess,Frances Hodgson Burnett,4.23
David Copperfield,Charles Dickens,4.04
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13
The World According to Garp,John Irving,4.11
Thirteen Reasons Why,Jay Asher,3.84
